,Zip Codes
0,03752
1,12204
2,47139
3,77868
4,55951
5,94512
6,56343
7,75219
8,33340
9,61750
10,01931
11,71631
12,43935
13,37640
14,28379
15,99361
16,04275
17,88040
18,77581
19,52595
20,77388
21,64601
22,58725
23,54457
24,26415
25,61730
26,33015
27,65083
28,94571
29,66061
30,55115
31,04004
32,04224
33,24330
34,21205
35,44143
36,01270
37,90301
38,04091
39,04033
40,61422
41,70717
42,61336
43,04730
44,97294
45,80236
46,49063
47,15110
48,13101
49,68064
