,Zip Codes
0,95666
1,80024
2,11547
3,49621
4,59425
5,79351
6,78949
7,77521
8,28523
9,71068
10,94162
11,34113
12,15823
13,05450
14,84539
15,29831
16,68057
17,99327
18,50051
19,21235
