,ID,Name,Zipcode,Latitude,Longitude,Price,Rating
0,WgM-qwpgvw2pkHt5jv13tQ,Krumville Bake Shop,11206,40.6998241,-73.9480982,$$,5.0
1,1mp7uP6Kz_Zz4UClVfnjFQ,Testo,11206,40.708324,-73.946988,$$,4.5
2,NWHrF-8HC7yIKMXop6n-0Q,Bushwick Grind,11206,40.70162,-73.94441,$,5.0
3,t-tx9YJhKHZrzIn4DKziuQ,983-Bushwick's Living Room,11206,40.703087,-73.933403,$$,4.0
4,FhXjAc6nKLf414KxYujUHw,Roberta's,11206,40.705043534338,-73.93357123374,$$,4.0
5,3gqKLANaXNsHZnPDjKrcTg,Win Son,11206,40.70747,-73.94339,$$,4.5
6,fNU4Mf7c--x71glNT9PHug,Hartbreakers,11206,40.7017552430266,-73.9226628918423,NA,4.0
7,5GQ5rre-_Wr-98ddR4tnQg,Steve & Andy's Organics,11206,40.6996109,-73.9479221,$$,5.0
8,u_3TLN0u6LyOL01vdjFOug,Champs Diner,11206,40.7084397372605,-73.9407808520115,$$,4.0
9,VrVmqcmRXoe3EMwer_ZRcw,Brooklyn Mac,11206,40.70755,-73.94223,$$,3.0
10,yOc5CZ5VxHGqj96RUuZCMA,Dun-Well Doughnuts,11206,40.707743,-73.940202,$$,4.0
11,OrDUF3q9WNttIslLXKx0Aw,Concrete,11206,40.6977,-73.9368,$$,4.5
12,R-TRmWuK1nBGRB7iq0XphA,Nam Nam,11206,40.70728,-73.94509,$,4.5
13,P3Yh0xVKUwy4SSGQqwArLA,Bagock Fried Chicken & Doughnuts,11206,40.70755,-73.94223,NA,4.0
14,tmJEARh32neUqBDXpWZR1w,Central Cafe,11206,40.700222,-73.929427,$,4.0
15,Y7aK8zAWCnCncYfU9PqhRQ,Mini Melanie,11206,40.6998241,-73.9480982,$$,4.5
16,d8QUxd7xfKS4-SUk-uPX4g,Newtown,11206,40.7091391,-73.9372268,$,4.5
17,Ivj6Ui02moXsEkc0yAUQug,Red Table Catering,11206,40.7115468,-73.9468975,NA,5.0
18,1RRD6Ub4QEW9ZeyaBMx5jQ,Mountain Province,11206,40.7075228032172,-73.9503787374344,$,4.5
19,DCmw4cNrV-JZM6CGVB6DfQ,Vegan Shop Up,11206,40.7054685975945,-73.9328064747926,$$,4.5
20,M6uMYAfGywJiVNswIH35PA,Bake Shop,11206,40.703323,-73.932899,$$,4.0
21,8gAP3L0_v4YsGy7sdJGK7A,Azure,11206,40.70761,-73.9417,$$,4.5
22,Eurr6tUSl5s_7F51jUm-PQ,Hell Phone,11206,40.70426,-73.93419,$$,3.5
23,cYHziFZtg6h76kYsCkn1MQ,Food Bazaar Supermarket,11206,40.696624,-73.936311,$,3.0
24,RWphHqDoGZfd7bDTYHD8eA,Warma Cafe,11206,40.7102149116587,-73.948802947998,$,3.5
25,TcllxDfvOcv13ztyYalx6g,Jessi's Coffee Shop,11206,40.70828,-73.93961,$,4.5
26,-zzMDQkhZzrnBUdrfpG3Ng,Ange Noir Cafe,11206,40.70426,-73.93419,$,4.0
27,HZzpdR29lu_ptz65eRIRJA,L Mo's Market,11206,40.70553,-73.93178,$$$,4.0
28,v0vBSvG0hRPBoYyK6dlaAw,Emblem,11206,40.708429,-73.943698,$$,4.5
29,3dGWHRbrh9V8Dl-qLwCUYw,Leaf,11206,40.69717,-73.9345,NA,2.5
30,FvyhJRPCth2_1pmXlBbTGA,Pine Box Rock Shop,11206,40.70528,-73.93267,$$,4.0
31,fLQ3HZeUrnNUwN64fg0jZg,Kettlebell Kitchen,11206,40.7145500183105,-74.0071411132813,$,3.5
32,zHTV6Y2RjhIZXuTfIK_GbQ,Get Fed NYC,11206,40.6999,-73.94819,$$,4.5
33,IHE2GRNR61QIAap1VfA7Gg,Sweet Dames Artisan Confections,11206,40.6999408012536,-73.9473807066679,NA,3.5
34,HVUSm1c3vOUfIjy9xGyEEQ,Food Story Natural Market,11206,40.7049098,-73.9331767,$$,4.0
35,qR6vC-y7o_ts-s-dqg4h1w,Chinacity Restaurant,11206,40.6974,-73.93626,NA,3.5
36,z6WBXksrh0FQXYCPr2nnFg,Amituofo Vegan Cuisine,11206,40.70381,-73.933159,$$,4.5
37,QahWQMupt8ImBgPxwHP4yw,Butcher Block,11206,40.70203,-73.943634,$$,2.0
38,9UwdnKB3LFEZRfnhgtux9A,Khims Millenium Market IV,11206,40.7072399,-73.9399434,$$$,3.0
39,DlLYddNASED5fcmZzu9dOw,Koda Restaurant & Lounge,11206,40.703128,-73.933319,$$,4.0
40,W_xw8xkI6-Vjogkf-lb1dQ,Healthy Choice Kitchen,11206,40.708203,-73.943629,$,4.0
41,JXsHJfBAKZT0fG8XkA9Kzw,Sweet Science,11206,40.7063841819763,-73.9431119710207,$$,3.5
42,OMVBLvy-szMzAtpG_ZZaMw,Demi Monde,11206,40.70427,-73.93362,NA,4.0
43,uaz8YKPbscDa7krfXvK_tw,Mr Kiwi's,11206,40.696916359286,-73.9347926387388,$$,4.5
44,yRnLKQmmGgyUtLf3aw7nAQ,Swallow Cafe,11206,40.70531,-73.93343,$,3.5
45,IlA9mNIrf7YoNEzlknkT8g,Gala Foods Supermarket,11206,40.71075,-73.94393,$$,3.0
46,JRmQRFEEnSUdAcesHun9AQ,ICHIRAN - Brooklyn,11206,40.707587,-73.933271,$$,3.5
47,v7hwkFxrz2pORrT9Fiiovw,La Lupe,11206,40.69725,-73.93517,$$,3.5
48,ZrzSDDj54aUlPqn4MQMKeQ,Momo Sushi Shack,11206,40.7051406133,-73.933340055132,$$,4.0
49,_BFY0UUh1HjLPNjQwyLSxg,Stay Fresh Grill & Deli,11206,40.698232,-73.937032,$,2.5
50,jS8WmzSHWZVZeOpAmhHwrg,Danny's Pizzeria,11206,40.70787,-73.93971,$,3.0
51,bjeNNlKh5l6UmoFWI1RD1w,Danny's Pizzeria II,11206,40.70778,-73.94296,$,3.0
52,2eUjhFPMfoTcQhQ-oV09CA,Brooklyn Natural Foods,11206,40.70531,-73.93343,$$$,3.0
53,FjeUodgFr0KCWJ1ylvGjdQ,Haab,11206,40.71099,-73.94707,$$,3.5
