,Population,"Households with household income $200,000 or more",Median family income,Households,Name,zipcode,"Percent of households with income over $200,000"
67,11474.0,38.0,28880.0,3873.0,ZCTA5 01107,01107,0.9811515620965658
68,28449.0,185.0,37487.0,9776.0,ZCTA5 01108,01108,1.8923895253682488
69,30139.0,78.0,37463.0,9571.0,ZCTA5 01109,01109,0.8149618639640581
70,14293.0,81.0,62232.0,5531.0,ZCTA5 01118,01118,1.4644729705297415
71,13091.0,44.0,56250.0,4722.0,ZCTA5 01119,01119,0.9318085556967387
72,2695.0,24.0,92738.0,1071.0,ZCTA5 01128,01128,2.2408963585434174
73,7220.0,77.0,69385.0,2872.0,ZCTA5 01129,01129,2.681058495821727
74,9295.0,6.0,40177.0,3289.0,ZCTA5 01151,01151,0.18242626938279113
75,0.0,0.0,NA,0.0,ZCTA5 01199,01199,
76,45001.0,613.0,61736.0,19765.0,ZCTA5 01201,01201,3.101441942828232
77,8266.0,46.0,63394.0,3773.0,ZCTA5 01220,01220,1.2191889742910151
78,829.0,33.0,79737.0,370.0,ZCTA5 01222,01222,8.91891891891892
79,2247.0,55.0,80256.0,999.0,ZCTA5 01223,01223,5.505505505505505
80,176.0,0.0,NA,108.0,ZCTA5 01224,01224,0.0
81,3192.0,33.0,72652.0,1445.0,ZCTA5 01225,01225,2.283737024221453
82,6885.0,168.0,69065.0,2871.0,ZCTA5 01226,01226,5.851619644723093
83,102.0,0.0,NA,52.0,ZCTA5 01229,01229,0.0
84,8195.0,258.0,84658.0,3263.0,ZCTA5 01230,01230,7.906834201654919
85,2666.0,31.0,71806.0,1165.0,ZCTA5 01235,01235,2.6609442060085837
86,1422.0,36.0,86068.0,474.0,ZCTA5 01236,01236,7.59493670886076
87,2755.0,45.0,92417.0,958.0,ZCTA5 01237,01237,4.697286012526096
88,5950.0,212.0,77438.0,2434.0,ZCTA5 01238,01238,8.709942481511915
89,4592.0,227.0,106929.0,2326.0,ZCTA5 01240,01240,9.759243336199484
90,429.0,0.0,NA,156.0,ZCTA5 01242,01242,0.0
91,381.0,15.0,91667.0,183.0,ZCTA5 01243,01243,8.19672131147541
92,82.0,3.0,150114.0,56.0,ZCTA5 01244,01244,5.357142857142857
93,870.0,18.0,74028.0,412.0,ZCTA5 01245,01245,4.368932038834951
94,15725.0,113.0,54897.0,6874.0,ZCTA5 01247,01247,1.6438754727960432
95,734.0,22.0,82167.0,319.0,ZCTA5 01253,01253,6.896551724137931
96,985.0,101.0,115556.0,469.0,ZCTA5 01254,01254,21.535181236673772
97,869.0,21.0,79792.0,338.0,ZCTA5 01255,01255,6.21301775147929
98,764.0,9.0,64205.0,326.0,ZCTA5 01256,01256,2.7607361963190185
99,2164.0,49.0,78672.0,953.0,ZCTA5 01257,01257,5.141657922350472
100,359.0,8.0,95625.0,189.0,ZCTA5 01258,01258,4.232804232804233
101,556.0,32.0,115313.0,279.0,ZCTA5 01259,01259,11.469534050179211
102,545.0,9.0,NA,151.0,ZCTA5 01260,01260,5.960264900662252
103,1196.0,32.0,64167.0,564.0,ZCTA5 01262,01262,5.673758865248227
104,161.0,7.0,81250.0,65.0,ZCTA5 01264,01264,10.76923076923077
105,1380.0,86.0,96250.0,633.0,ZCTA5 01266,01266,13.58609794628752
106,7846.0,182.0,94293.0,2376.0,ZCTA5 01267,01267,7.65993265993266
107,814.0,23.0,91250.0,342.0,ZCTA5 01270,01270,6.725146198830409
108,17730.0,215.0,68225.0,7838.0,ZCTA5 01301,01301,2.7430466955856088
109,1468.0,42.0,92500.0,634.0,ZCTA5 01330,01330,6.624605678233439
110,13205.0,63.0,63636.0,5331.0,ZCTA5 01331,01331,1.1817670230725943
111,2598.0,39.0,79063.0,1130.0,ZCTA5 01337,01337,3.4513274336283186
112,138.0,0.0,70000.0,57.0,ZCTA5 01338,01338,0.0
113,1461.0,50.0,59167.0,624.0,ZCTA5 01339,01339,8.012820512820513
114,1689.0,25.0,61786.0,733.0,ZCTA5 01340,01340,3.4106412005457027
115,1716.0,88.0,110179.0,684.0,ZCTA5 01341,01341,12.865497076023392
116,1768.0,66.0,133000.0,555.0,ZCTA5 01342,01342,11.891891891891893
117,46.0,0.0,83438.0,24.0,ZCTA5 01343,01343,0.0
118,1582.0,3.0,72885.0,638.0,ZCTA5 01344,01344,0.4702194357366771
119,465.0,18.0,70000.0,194.0,ZCTA5 01346,01346,9.278350515463918
120,133.0,0.0,41458.0,64.0,ZCTA5 01347,01347,0.0
121,1106.0,0.0,61938.0,425.0,ZCTA5 01349,01349,0.0
122,95.0,0.0,NA,43.0,ZCTA5 01350,01350,0.0
123,2312.0,58.0,100347.0,1008.0,ZCTA5 01351,01351,5.753968253968254
124,1656.0,21.0,84722.0,582.0,ZCTA5 01354,01354,3.608247422680412
125,915.0,13.0,79688.0,397.0,ZCTA5 01355,01355,3.27455919395466
126,3006.0,34.0,86447.0,1256.0,ZCTA5 01360,01360,2.7070063694267517
127,7832.0,6.0,56368.0,3326.0,ZCTA5 01364,01364,0.1803968731208659
128,1202.0,42.0,78750.0,481.0,ZCTA5 01366,01366,8.731808731808732
129,686.0,5.0,60208.0,250.0,ZCTA5 01367,01367,2.0
130,1363.0,8.0,77625.0,512.0,ZCTA5 01368,01368,1.5625
131,3879.0,91.0,77941.0,1789.0,ZCTA5 01370,01370,5.086640581330352
132,4184.0,68.0,86078.0,1867.0,ZCTA5 01373,01373,3.642206748794858
133,3673.0,40.0,67455.0,1547.0,ZCTA5 01375,01375,2.5856496444731736
134,5101.0,53.0,55408.0,2283.0,ZCTA5 01376,01376,2.3215067893123087
135,734.0,4.0,79531.0,351.0,ZCTA5 01378,01378,1.1396011396011396
136,775.0,7.0,62708.0,353.0,ZCTA5 01379,01379,1.9830028328611897
137,40441.0,248.0,59307.0,14714.0,ZCTA5 01420,01420,1.6854696207693354
138,6171.0,212.0,105106.0,2195.0,ZCTA5 01430,01430,9.658314350797266
139,3196.0,64.0,92589.0,1051.0,ZCTA5 01431,01431,6.089438629876309
140,7594.0,284.0,112625.0,3324.0,ZCTA5 01432,01432,8.543922984356197
141,1716.0,17.0,101728.0,206.0,ZCTA5 01434,01434,8.25242718446602
142,3823.0,47.0,95048.0,1299.0,ZCTA5 01436,01436,3.6181678214010775
143,635.0,0.0,70540.0,245.0,ZCTA5 01438,01438,0.0
144,20334.0,123.0,59007.0,8215.0,ZCTA5 01440,01440,1.4972611077297626
145,11182.0,838.0,133194.0,4042.0,ZCTA5 01450,01450,20.732310737258782
146,4629.0,487.0,158065.0,1666.0,ZCTA5 01451,01451,29.231692677070832
147,4537.0,111.0,94512.0,1626.0,ZCTA5 01452,01452,6.826568265682657
148,41336.0,554.0,71788.0,16730.0,ZCTA5 01453,01453,3.311416616855947
149,9538.0,662.0,133625.0,3554.0,ZCTA5 01460,01460,18.626899268429938
150,11087.0,414.0,104619.0,4262.0,ZCTA5 01462,01462,9.71374941342093
151,12031.0,366.0,97353.0,4301.0,ZCTA5 01463,01463,8.50964891885608
152,7433.0,174.0,79718.0,2408.0,ZCTA5 01464,01464,7.225913621262459
153,560.0,45.0,131667.0,144.0,ZCTA5 01467,01467,31.25
154,3704.0,52.0,89510.0,1707.0,ZCTA5 01468,01468,3.046280023432923
155,7430.0,190.0,97361.0,2652.0,ZCTA5 01469,01469,7.164404223227752
156,7480.0,157.0,106273.0,2864.0,ZCTA5 01473,01473,5.481843575418995
157,1939.0,94.0,133594.0,745.0,ZCTA5 01474,01474,12.61744966442953
158,10613.0,48.0,80060.0,3855.0,ZCTA5 01475,01475,1.245136186770428
159,16239.0,384.0,90618.0,6452.0,ZCTA5 01501,01501,5.951642901425915
160,3061.0,158.0,105089.0,1129.0,ZCTA5 01503,01503,13.994685562444642
161,9068.0,170.0,93500.0,3343.0,ZCTA5 01504,01504,5.0852527669757706
162,4480.0,292.0,111622.0,1723.0,ZCTA5 01505,01505,16.94718514219385
163,3386.0,89.0,71902.0,1419.0,ZCTA5 01506,01506,6.272022551092318
164,13292.0,463.0,103659.0,4834.0,ZCTA5 01507,01507,9.577989242863055
165,13759.0,144.0,78087.0,5602.0,ZCTA5 01510,01510,2.570510531952874
166,2259.0,39.0,94545.0,826.0,ZCTA5 01515,01515,4.721549636803874
167,8689.0,151.0,93730.0,3164.0,ZCTA5 01516,01516,4.772439949431099
168,3009.0,147.0,94605.0,1252.0,ZCTA5 01518,01518,11.741214057507987
169,6548.0,472.0,138690.0,2376.0,ZCTA5 01519,01519,19.865319865319865
170,14880.0,661.0,116681.0,5238.0,ZCTA5 01520,01520,12.619320351279114
171,2374.0,52.0,83194.0,952.0,ZCTA5 01521,01521,5.46218487394958
172,3380.0,106.0,110245.0,1231.0,ZCTA5 01522,01522,8.610885458976442
173,7811.0,207.0,104316.0,2277.0,ZCTA5 01523,01523,9.090909090909092
174,6649.0,49.0,84107.0,2656.0,ZCTA5 01524,01524,1.8448795180722892
175,128.0,0.0,NA,56.0,ZCTA5 01525,01525,0.0
176,13431.0,302.0,88622.0,5267.0,ZCTA5 01527,01527,5.733814315549648
177,3218.0,69.0,106591.0,1073.0,ZCTA5 01529,01529,6.430568499534017
178,1106.0,34.0,86875.0,386.0,ZCTA5 01531,01531,8.808290155440414
179,14846.0,994.0,123876.0,5117.0,ZCTA5 01532,01532,19.425444596443228
180,6406.0,317.0,113365.0,2228.0,ZCTA5 01534,01534,14.228007181328545
181,4761.0,56.0,82154.0,1824.0,ZCTA5 01535,01535,3.070175438596491
182,7557.0,404.0,120417.0,2764.0,ZCTA5 01536,01536,14.616497829232996
183,2671.0,15.0,87949.0,929.0,ZCTA5 01537,01537,1.6146393972012916
184,10921.0,61.0,84455.0,4338.0,ZCTA5 01540,01540,1.4061779621945598
185,3451.0,282.0,133967.0,1226.0,ZCTA5 01541,01541,23.00163132137031
186,2366.0,41.0,98229.0,868.0,ZCTA5 01542,01542,4.723502304147465
187,8402.0,268.0,107533.0,2873.0,ZCTA5 01543,01543,9.32822833275322
188,36103.0,2053.0,117384.0,12860.0,ZCTA5 01545,01545,15.964230171073096
189,16824.0,92.0,58067.0,6835.0,ZCTA5 01550,01550,1.346013167520117
190,4504.0,197.0,108906.0,1667.0,ZCTA5 01560,01560,11.817636472705459
191,249.0,0.0,NA,84.0,ZCTA5 01561,01561,0.0
192,11801.0,152.0,80466.0,4735.0,ZCTA5 01562,01562,3.2101372756071807
193,7954.0,559.0,131713.0,2762.0,ZCTA5 01564,01564,20.238957277335263
194,6442.0,248.0,108288.0,2350.0,ZCTA5 01566,01566,10.553191489361701
195,7532.0,510.0,133333.0,2659.0,ZCTA5 01568,01568,19.180142910868746
196,13881.0,349.0,97500.0,4754.0,ZCTA5 01569,01569,7.341186369373159
197,16838.0,205.0,60884.0,6520.0,ZCTA5 01570,01570,3.144171779141104
198,11608.0,234.0,84274.0,3945.0,ZCTA5 01571,01571,5.931558935361217
199,18706.0,1145.0,130919.0,6757.0,ZCTA5 01581,01581,16.945389965961226
200,7602.0,141.0,92024.0,2031.0,ZCTA5 01583,01583,6.942392909896602
201,4606.0,62.0,75483.0,1843.0,ZCTA5 01585,01585,3.3640803038524147
202,9731.0,238.0,76362.0,3715.0,ZCTA5 01588,01588,6.4064602960969035
203,9184.0,421.0,113578.0,3201.0,ZCTA5 01590,01590,13.152139956263667
204,23812.0,553.0,83857.0,9444.0,ZCTA5 01602,01602,5.855569673867005
205,20505.0,209.0,53231.0,7254.0,ZCTA5 01603,01603,2.8811690102012686
206,35866.0,378.0,58452.0,14189.0,ZCTA5 01604,01604,2.664035520473606
207,28696.0,261.0,42131.0,10391.0,ZCTA5 01605,01605,2.5117890482148013
208,19258.0,312.0,80152.0,7865.0,ZCTA5 01606,01606,3.9669421487603307
209,8636.0,87.0,66089.0,3584.0,ZCTA5 01607,01607,2.427455357142857
210,3511.0,0.0,25823.0,1587.0,ZCTA5 01608,01608,0.0
211,19982.0,407.0,64871.0,7133.0,ZCTA5 01609,01609,5.705874106266648
212,23919.0,41.0,37227.0,7912.0,ZCTA5 01610,01610,0.5182002022244692
213,2466.0,57.0,92188.0,925.0,ZCTA5 01611,01611,6.162162162162162
214,4889.0,239.0,115139.0,1512.0,ZCTA5 01612,01612,15.806878306878309
215,32061.0,1642.0,117027.0,12543.0,ZCTA5 01701,01701,13.09096707326796
216,38781.0,620.0,62488.0,15207.0,ZCTA5 01702,01702,4.077069770500427
217,526.0,65.0,155357.0,199.0,ZCTA5 01718,01718,32.663316582914575
218,5287.0,509.0,154205.0,2157.0,ZCTA5 01719,01719,23.597589244320815
219,22638.0,2278.0,159129.0,8409.0,ZCTA5 01720,01720,27.090022594838864
220,17420.0,1247.0,122210.0,6726.0,ZCTA5 01721,01721,18.539994052928932
221,14018.0,1325.0,146146.0,5133.0,ZCTA5 01730,01730,25.813364504188584
222,1957.0,20.0,83667.0,520.0,ZCTA5 01731,01731,3.8461538461538463
223,5113.0,516.0,161417.0,1703.0,ZCTA5 01740,01740,30.299471520845568
224,5125.0,755.0,195563.0,1762.0,ZCTA5 01741,01741,42.84903518728717
225,19448.0,2149.0,158247.0,6773.0,ZCTA5 01742,01742,31.728923667503324
226,482.0,9.0,121694.0,149.0,ZCTA5 01745,01745,6.0402684563758395
227,14324.0,984.0,127250.0,5119.0,ZCTA5 01746,01746,19.222504395389723
228,5942.0,233.0,117964.0,2280.0,ZCTA5 01747,01747,10.219298245614034
229,16257.0,1685.0,165790.0,5620.0,ZCTA5 01748,01748,29.98220640569395
230,19680.0,654.0,97233.0,7605.0,ZCTA5 01749,01749,8.599605522682447
231,39545.0,1236.0,85563.0,15442.0,ZCTA5 01752,01752,8.004144540862583
232,10526.0,637.0,115525.0,4375.0,ZCTA5 01754,01754,14.56
233,5963.0,479.0,131473.0,2012.0,ZCTA5 01756,01756,23.807157057654074
234,28600.0,692.0,91019.0,11116.0,ZCTA5 01757,01757,6.225260885210507
235,35133.0,2512.0,136193.0,13943.0,ZCTA5 01760,01760,18.016208850319156
236,4255.0,570.0,168036.0,1449.0,ZCTA5 01770,01770,39.33747412008282
237,9486.0,1124.0,173618.0,3181.0,ZCTA5 01772,01772,35.33480037723986
238,4793.0,658.0,183661.0,1955.0,ZCTA5 01773,01773,33.65728900255755
239,7027.0,672.0,158807.0,2519.0,ZCTA5 01775,01775,26.67725287812624
240,18594.0,2339.0,176920.0,6133.0,ZCTA5 01776,01776,38.13794227947171
241,13697.0,1910.0,189934.0,5129.0,ZCTA5 01778,01778,37.23922791967245
242,39775.0,990.0,100845.0,15266.0,ZCTA5 01801,01801,6.4849993449495615
243,25698.0,1245.0,110517.0,9271.0,ZCTA5 01803,01803,13.428972063423577
244,34963.0,3552.0,160794.0,12179.0,ZCTA5 01810,01810,29.16495607192709
245,31780.0,1084.0,105767.0,10911.0,ZCTA5 01821,01821,9.934928054257172
246,25803.0,1376.0,130830.0,9812.0,ZCTA5 01824,01824,14.02364451691806
247,30855.0,877.0,94654.0,10957.0,ZCTA5 01826,01826,8.00401569772748
248,3310.0,236.0,145045.0,1165.0,ZCTA5 01827,01827,20.257510729613735
249,25882.0,465.0,71534.0,10010.0,ZCTA5 01830,01830,4.6453546453546455
250,23305.0,444.0,74967.0,8616.0,ZCTA5 01832,01832,5.153203342618385
251,8514.0,443.0,127212.0,3153.0,ZCTA5 01833,01833,14.050111005391692
252,6681.0,342.0,98810.0,2274.0,ZCTA5 01834,01834,15.03957783641161
253,13153.0,218.0,81699.0,5155.0,ZCTA5 01835,01835,4.22890397672163
254,5524.0,60.0,36326.0,2259.0,ZCTA5 01840,01840,2.6560424966799467
255,47836.0,140.0,37057.0,14715.0,ZCTA5 01841,01841,0.9514101257220523
256,25963.0,62.0,43395.0,8778.0,ZCTA5 01843,01843,0.7063112326270221
257,49057.0,1023.0,87373.0,17401.0,ZCTA5 01844,01844,5.878972472846388
258,29705.0,1969.0,129578.0,10900.0,ZCTA5 01845,01845,18.06422018348624
259,16394.0,0.0,47054.0,5447.0,ZCTA5 01850,01850,0.0
260,30026.0,276.0,55603.0,10114.0,ZCTA5 01851,01851,2.728890646628436
261,34332.0,358.0,61610.0,13675.0,ZCTA5 01852,01852,2.6179159049360146
262,29204.0,178.0,54640.0,9530.0,ZCTA5 01854,01854,1.8677859391395595
263,6695.0,248.0,115121.0,2641.0,ZCTA5 01860,01860,9.390382430897388
264,11134.0,255.0,113016.0,3412.0,ZCTA5 01862,01862,7.473622508792498
265,9103.0,364.0,103518.0,3879.0,ZCTA5 01863,01863,9.383861820056715
266,15476.0,1201.0,142266.0,5391.0,ZCTA5 01864,01864,22.27787052494899
267,24935.0,1690.0,134632.0,9037.0,ZCTA5 01867,01867,18.70089631514883
268,29692.0,1067.0,110512.0,11108.0,ZCTA5 01876,01876,9.605689593086064
269,12133.0,603.0,119504.0,4332.0,ZCTA5 01879,01879,13.919667590027702
270,26062.0,1246.0,114619.0,9964.0,ZCTA5 01880,01880,12.505018065034124
271,23850.0,1823.0,148775.0,8140.0,ZCTA5 01886,01886,22.395577395577394
272,23310.0,951.0,118375.0,7867.0,ZCTA5 01887,01887,12.08847082750731
273,22491.0,2900.0,182264.0,7741.0,ZCTA5 01890,01890,37.462860095594884
274,1637.0,0.0,29107.0,852.0,ZCTA5 01901,01901,0.0
275,47081.0,381.0,46153.0,16740.0,ZCTA5 01902,01902,2.2759856630824373
