,Zipcode,GF_Total,GF_Price_1,GF_Price_2,GF_Price_3,GF_Price_4,GF_Price_0,GF_Rating_10,GF_Rating_15,GF_Rating_20,GF_Rating_25,GF_Rating_30,GF_Rating_35,GF_Rating_40,GF_Rating_45,GF_Rating_50,GF_Price_Mean,GF_Rating_Mean,GF_Price_Std,GF_Rating_Std,ALL_Total,ALL_Price_1,ALL_Price_2,ALL_Price_3,ALL_Price_4,ALL_Price_0,ALL_Rating_10,ALL_Rating_15,ALL_Rating_20,ALL_Rating_25,ALL_Rating_30,ALL_Rating_35,ALL_Rating_40,ALL_Rating_45,ALL_Rating_50,ALL_Price_Mean,ALL_Rating_Mean,ALL_Price_Std,ALL_Rating_Std
11,90211,28,5,12,8,2,0,0,0,0,1,0,2,15,8,2,2.259259259259259,4.125,0.8590062502052811,0.4835248662647003,49,11,19,9,4,0,1,0,1,2,4,8,20,10,3,2.13953488372093,3.836734693877551,0.9149914219956281,0.7595760543309178
12,90222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,19,11,4,0,0,0,0,0,1,3,3,1,7,3,1,1.2666666666666666,3.6052631578947367,0.4577377082170635,0.8429272304235247
13,90249,10,6,3,0,0,0,0,0,0,1,0,1,4,4,0,1.3333333333333333,4.0,0.5,0.6236095644623235,105,52,40,0,1,0,3,1,7,10,17,19,31,16,1,1.4623655913978495,3.447619047619048,0.5625860279132237,0.8685858575531793
14,90254,49,11,32,4,0,0,0,0,1,0,5,8,22,13,0,1.851063829787234,3.9081632653061225,0.5508382309778007,0.5369034420847466,93,30,50,4,0,0,0,0,3,1,7,28,35,18,1,1.6904761904761905,3.8010752688172045,0.5591773319644702,0.5717050439837863
15,90260,8,4,4,0,0,0,0,1,0,0,0,1,1,4,1,1.5,4.0,0.5345224838248488,1.1019463300386794,68,48,18,0,0,0,0,1,8,5,10,13,14,14,3,1.2727272727272727,3.5220588235294117,0.44877455520405923,0.8954021173260804
16,90263,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,4.0,,,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3.0,4.0,,0.0
17,90270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,60,38,9,0,0,0,1,3,2,10,8,11,11,8,6,1.1914893617021276,3.45,0.39772712255364384,0.998728004573139
18,90301,8,5,3,0,0,0,0,1,0,0,0,1,3,3,0,1.375,3.8125,0.5175491695067657,0.9977653603356423,90,51,28,0,0,0,1,3,7,3,8,17,30,15,6,1.3544303797468353,3.6444444444444444,0.48139686393214104,0.9064204336271768
19,90304,3,1,2,0,0,0,0,0,0,0,1,0,0,2,0,1.6666666666666667,4.0,0.5773502691896257,0.8660254037844386,66,43,12,0,0,0,4,3,2,3,10,14,17,8,5,1.2181818181818183,3.4545454545454546,0.41681815427998536,1.040441003862056
20,90305,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.5,2.75,0.7071067811865476,0.3535533905932738,12,5,6,0,0,0,0,1,1,3,1,3,2,0,1,1.5454545454545454,3.125,0.5222329678670935,0.9799118698777317
