,Unnamed: 0,Zipcode,GF_Total,GF_Price_1,GF_Price_2,GF_Price_3,GF_Price_4,GF_Price_0,GF_Rating_10,GF_Rating_15,GF_Rating_20,GF_Rating_25,GF_Rating_30,GF_Rating_35,GF_Rating_40,GF_Rating_45,GF_Rating_50,GF_Price_Mean,GF_Rating_Mean,GF_Price_Std,GF_Rating_Std,ALL_Total,ALL_Price_1,ALL_Price_2,ALL_Price_3,ALL_Price_4,ALL_Price_0,ALL_Rating_10,ALL_Rating_15,ALL_Rating_20,ALL_Rating_25,ALL_Rating_30,ALL_Rating_35,ALL_Rating_40,ALL_Rating_45,ALL_Rating_50,ALL_Price_Mean,ALL_Rating_Mean,ALL_Price_Std,ALL_Rating_Std
0,0,90006,26,7,15,2,0,0,0,1,1,0,0,6,13,4,1,1.7916666666666667,3.8269230769230766,0.5882299658752717,0.7203097624259676,217,98,76,4,0,0,4,7,8,12,20,47,68,34,17,1.4719101123595506,3.6635944700460823,0.5438903104860984,0.8909067278604735
1,1,90028,135,37,77,16,1,0,0,0,0,4,9,38,55,27,2,1.8549618320610688,3.862962962962963,0.6459594819941548,0.5016005339241043,287,111,130,20,2,0,2,4,16,20,34,73,83,46,9,1.6692015209125477,3.5940766550522647,0.6486054691830504,0.7877114108801082
2,2,90032,7,3,4,0,0,0,0,1,0,0,0,1,2,2,1,1.5714285714285714,3.8571428571428568,0.5345224838248488,1.1443442705426587,67,49,10,0,0,0,2,3,3,3,3,10,16,17,10,1.1694915254237288,3.7985074626865667,0.3784060204413426,1.0483020235214764
3,3,90033,7,2,5,0,0,0,0,0,0,0,0,0,3,3,1,1.7142857142857142,4.357142857142857,0.4879500364742666,0.3779644730092273,140,86,26,1,0,0,1,1,9,7,15,17,32,37,21,1.247787610619469,3.871428571428571,0.4537733357109859,0.9063553160267946
4,4,90035,43,5,35,1,0,0,0,0,2,0,2,12,14,11,2,1.902439024390244,3.8953488372093017,0.3744915251898559,0.6414097154193488,107,28,64,3,1,0,0,4,3,7,10,23,33,19,8,1.7604166666666667,3.714953271028037,0.5571504883482257,0.8273398765807856
5,5,90038,43,12,22,5,4,0,0,0,0,1,0,7,22,13,0,2.0232558139534884,4.034883720930233,0.8860928708991231,0.4139724633873222,116,51,43,7,6,0,2,0,4,11,7,21,45,23,3,1.7009345794392523,3.7112068965517233,0.826620230283373,0.7806097451434315
6,6,90052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,1.75,,1.0606601717798212
7,7,90056,3,1,2,0,0,0,0,0,0,0,0,0,0,2,1,1.6666666666666667,4.666666666666667,0.5773502691896257,0.2886751345948129,10,7,2,0,0,0,0,0,2,1,1,2,2,2,0,1.2222222222222223,3.35,0.4409585518440984,0.9442810316143531
8,8,90059,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4.5,,,42,28,5,0,0,0,0,5,2,3,4,7,9,6,6,1.1515151515151516,3.5357142857142856,0.3641095406272095,1.106482325158654
9,9,90067,28,2,18,5,1,0,0,0,1,1,5,10,10,1,0,2.1923076923076925,3.5357142857142856,0.6336706254344298,0.5431146701881151,80,17,40,8,1,0,1,0,3,3,19,22,27,1,4,1.893939393939394,3.5125,0.6593420468405871,0.6888579798882324
10,10,90083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.0,,
11,11,90211,28,5,12,8,2,0,0,0,0,1,0,2,15,8,2,2.2592592592592595,4.125,0.8590062502052811,0.4835248662647003,49,11,19,9,4,0,1,0,1,2,4,8,20,10,3,2.13953488372093,3.8367346938775517,0.914991421995628,0.7595760543309178
12,12,90222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,19,11,4,0,0,0,0,0,1,3,3,1,7,3,1,1.2666666666666666,3.6052631578947367,0.4577377082170635,0.8429272304235247
13,13,90249,10,6,3,0,0,0,0,0,0,1,0,1,4,4,0,1.3333333333333333,4.0,0.5,0.6236095644623235,105,52,40,0,1,0,3,1,7,10,17,19,31,16,1,1.4623655913978495,3.4476190476190482,0.5625860279132237,0.8685858575531793
14,14,90254,49,11,32,4,0,0,0,0,1,0,5,8,22,13,0,1.8510638297872342,3.9081632653061225,0.5508382309778007,0.5369034420847466,93,30,50,4,0,0,0,0,3,1,7,28,35,18,1,1.6904761904761905,3.801075268817205,0.5591773319644702,0.5717050439837863
15,15,90260,8,4,4,0,0,0,0,1,0,0,0,1,1,4,1,1.5,4.0,0.5345224838248488,1.1019463300386794,68,48,18,0,0,0,0,1,8,5,10,13,14,14,3,1.2727272727272727,3.522058823529412,0.4487745552040592,0.8954021173260804
16,16,90263,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,4.0,,,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3.0,4.0,,0.0
17,17,90270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,60,38,9,0,0,0,1,3,2,10,8,11,11,8,6,1.1914893617021276,3.45,0.39772712255364384,0.9987280045731391
18,18,90301,8,5,3,0,0,0,0,1,0,0,0,1,3,3,0,1.375,3.8125,0.5175491695067657,0.9977653603356424,90,51,28,0,0,0,1,3,7,3,8,17,30,15,6,1.3544303797468351,3.644444444444445,0.481396863932141,0.9064204336271768
19,19,90304,3,1,2,0,0,0,0,0,0,0,1,0,0,2,0,1.6666666666666667,4.0,0.5773502691896257,0.8660254037844386,66,43,12,0,0,0,4,3,2,3,10,14,17,8,5,1.2181818181818185,3.4545454545454546,0.41681815427998536,1.0404410038620557
20,20,90305,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.5,2.75,0.7071067811865476,0.3535533905932738,12,5,6,0,0,0,0,1,1,3,1,3,2,0,1,1.5454545454545454,3.125,0.5222329678670935,0.9799118698777316
21,21,90312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,3.5,,
22,22,90504,5,3,2,0,0,0,0,0,0,0,1,1,2,1,0,1.4,3.8,0.5477225575051661,0.5700877125495689,55,30,19,1,0,0,0,1,5,5,8,10,14,10,2,1.42,3.527272727272728,0.5379477252503634,0.8629094938710516
23,23,90621,14,5,9,0,0,0,0,0,0,0,0,6,3,5,0,1.6428571428571428,3.9642857142857135,0.4972451580988469,0.458437384126595,113,39,62,2,0,0,1,4,3,6,7,29,40,20,3,1.6407766990291262,3.6769911504424777,0.5212046553754821,0.7903445055297001
24,24,90623,5,3,2,0,0,0,0,0,0,0,0,1,3,0,1,1.4,4.1,0.5477225575051661,0.5477225575051661,32,21,8,0,0,0,0,0,3,1,3,9,8,6,2,1.2758620689655171,3.6875,0.454858826147342,0.8007053342260588
25,25,90633,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,3.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
26,26,90639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,3,1,0,0,0,0,0,0,0,2,0,3,0,0,1.25,3.6,0.5,0.5477225575051661
27,27,90703,44,14,30,0,0,0,0,0,0,3,5,12,16,8,0,1.681818181818182,3.738636363636364,0.4711552981879444,0.5653629865439647,146,64,79,0,0,0,0,1,4,21,23,30,51,16,0,1.5524475524475525,3.506849315068493,0.4989894249115352,0.687289281487644
28,28,90713,11,5,5,0,0,0,0,0,0,1,2,1,4,3,0,1.5,3.772727272727273,0.5270462766947299,0.6842381297339531,44,31,11,0,0,0,0,1,5,8,12,5,9,4,0,1.261904761904762,3.1590909090909087,0.4450006198693307,0.7980552472040091
29,29,90732,6,2,4,0,0,0,0,0,0,0,2,0,3,1,0,1.6666666666666667,3.75,0.5163977794943223,0.6123724356957945,27,15,12,0,0,0,0,0,1,5,5,6,9,1,0,1.4444444444444444,3.3703703703703702,0.5063696835418333,0.6591456094619265
30,30,90742,4,1,2,1,0,0,0,0,0,0,0,0,2,2,0,2.0,4.25,0.8164965809277259,0.2886751345948129,10,3,6,1,0,0,0,0,0,0,0,1,6,3,0,1.8,4.1,0.6324555320336759,0.31622776601683794
31,31,90744,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1.0,4.0,0.0,0.0,92,67,8,0,0,0,2,2,2,6,15,7,28,21,9,1.106666666666667,3.75,0.3107677212591046,0.9213582901895976
